,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode12
Ilumatobacter coccineus,0,0,0,0,0,0,0,0,0,0,0
Rubrobacter marinus,3,0,0,0,1,0,1,0,2,0,0
Rubrobacter xylanophilus,1,3,0,0,2,1,0,0,1,1,0
Rubrobacter tropicus,1,2,1,0,0,0,0,1,0,0,0
Eggerthella lenta,1,1,0,0,2,0,0,1,2,0,0
Denitrobacterium detoxificans,1,1,0,0,0,1,0,0,2,0,0
Xiamenia xianingshaonis,1,1,0,0,0,0,0,0,0,0,0
Coriobacterium glomerans,0,0,0,0,0,0,0,0,0,0,0
Leptolyngbya sp. 7M,20,23,6,9,25,23,8,8,48,13,8
Planktothrix agardhii,0,0,0,0,0,0,0,0,0,0,0
Caldilinea aerophila,0,0,0,0,0,0,0,0,0,0,0
Roseiflexus castenholzii,0,0,0,0,0,0,0,0,0,0,0
Roseiflexus sp. RS-1,1,0,0,0,0,0,0,0,0,0,1
Pelolinea submarina,1,0,1,0,0,1,0,1,2,1,0
Brevefilum fermentans,1,0,1,0,0,0,0,1,2,0,1
Ktedonosporobacter rubrisoli,2,2,1,0,2,2,0,1,6,1,1
Mycoplasma sp. NEAQ87857,1,0,0,0,0,0,0,0,0,0,0
Mycoplasma capricolum,0,0,0,0,0,0,0,0,0,0,0
Mycoplasmopsis bovis,1,1,0,0,0,0,0,0,0,0,0
Mycoplasmopsis equigenitalium,1,0,0,0,0,0,0,0,0,0,0
Mesomycoplasma conjunctivae,1,0,0,0,0,1,0,0,0,0,0
Capsulimonas corticalis,2,3,1,0,4,1,0,1,7,1,1
Chthonomonas calidirosea,0,0,0,0,0,0,0,0,0,0,0
Allomeiothermus silvanus,0,0,0,0,0,0,0,0,0,0,0
Pseudolabrys taiwanensis,148,189,73,124,176,110,57,66,252,59,102
Pseudolabrys sp. FHR47,45,58,20,18,46,16,18,30,62,12,25
Labrys sp. KNU-23,1,4,1,5,3,4,2,1,5,1,1
Bradyrhizobium sp. CB1717,19,18,5,11,14,11,5,10,29,7,11
Bradyrhizobium sp. CB2312,4,1,2,0,3,0,2,2,4,1,3
Bradyrhizobium sp. WD16,3,6,3,4,3,3,1,1,5,2,2
Bradyrhizobium sp.,2,19,4,9,19,4,1,4,20,4,8
Bradyrhizobium sp. Ash2021,1,3,1,1,1,2,1,2,1,0,0
Bradyrhizobium erythrophlei,8,1,0,2,6,4,2,0,3,1,1
Bradyrhizobium elkanii,5,2,0,3,1,2,3,2,7,1,1
Bradyrhizobium canariense,4,10,1,7,2,2,4,1,9,2,4
Bradyrhizobium barranii,0,0,0,0,0,0,0,0,0,0,0
Bradyrhizobium ottawaense,1,4,1,2,3,1,0,1,4,0,2
Nitrobacter hamburgensis,0,0,0,0,0,0,0,0,0,0,0
Nitrobacter winogradskyi,0,0,0,0,0,0,0,0,0,0,0
Variibacter gotjawalensis,8,28,4,17,20,9,6,7,29,3,9
Rhodopseudomonas palustris,0,2,1,1,1,0,0,1,4,1,0
Methyloceanibacter caenitepidi,12,13,7,8,21,14,4,8,23,6,12
Rhodomicrobium vannielii,0,0,0,0,0,0,0,0,0,0,0
Rhodomicrobium lacus,10,10,9,6,12,3,3,3,14,3,5
Rhodoplanes sp. Z2-YC6860,29,31,15,23,27,25,12,18,34,10,18
Hyphomicrobium denitrificans,10,15,5,6,17,7,8,3,13,4,5
Hyphomicrobium sp. MC1,4,4,1,4,4,2,1,1,7,0,0
Hyphomicrobium sp. DMF-1,1,0,0,1,0,1,1,0,0,0,0
Methyloligella sp. GL2,10,17,7,8,8,5,7,11,25,4,4
Candidatus Filomicrobium marinum,2,1,0,1,3,3,0,1,3,0,3
Enhydrobacter sp.,18,29,9,13,27,9,9,14,37,3,9
Nordella sp. HKS 07,8,21,7,3,14,10,6,9,21,9,6
Candidatus Hodgkinia cicadicola,3,0,2,2,0,0,0,0,3,0,0
Pseudorhodoplanes sinuspersici,1,1,0,0,0,0,0,0,1,1,0
Terrihabitans soli,1,1,1,0,1,0,0,0,0,0,0
Rhizobium leguminosarum,0,0,0,0,0,0,0,0,0,0,0
Rhizobium sp. 007,1,1,0,2,2,1,0,0,1,0,2
Rhizobium sp. TH2,1,1,0,0,1,0,0,0,0,0,0
Rhizobium sp. AB2/73,1,0,0,0,0,1,0,0,0,0,0
Rhizobium grahamii,0,0,0,0,0,0,0,0,0,0,0
